SeqID	TaxonName	Species-levelName	Light	Temperature	Moisture	Reaction	Nutrients	Salinity		Disturbance.Severity	Disturbance.Severity.herblayer	Disturbance.Frequency	Disturbance.Frequency.herblayer	Mowing.Frequency	Grazing.Pressure	Soil.Disturbance	SD_Disturbance.Severity	SD_Disturbance.Severity.herblayer	SD_Disturbance.Frequency	SD_Disturbance.Frequency.herblayer	SD_Mowing.Frequency	SD_Grazing.Pressure	SD_Soil.Disturbance
1	Abies alba	Abies alba	x	4.7	6.1	5.3	5.5	0		0.6958	0.11768	0.02225	1.29716	0.00355	0.19519	0.1067	0.0001	0.0001	0.0275	0.0091	0.0159	0.0001	0.0001
2	Abies borisii-regis	Abies borisii-regis	6	NA	4.9	7.1	4.3	0		0.69288	0.10849	0.01462	1.28906	0	0.20219	0.1	0	0	0.0143	0.0006	0	0	0
3	Abies cephalonica	Abies cephalonica	8	7	4	6	5	0		0.67778	0.20253	0.09842	1.43421	0	0.23544	0.10769	0.0012	0.0019	0.3143	0.0201	0	0.0007	0.0001
4	Abies grandis	Abies grandis	7	4	5	4	5	0		0.835	0.225	0.12989	1.33255	0.02182	0.2	0.27	0.0108	0.0019	1.417	0.0717	0.16	0.0018	0.0019
5	Abies nebrodensis	Abies nebrodensis	3	7	3	6	3	0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	Abies nordmanniana	Abies nordmanniana	7	4	5	4	5	0		0.69937	0.10728	0.01008	1.3071	0	0.19936	0.10354	0.0003	0.0005	0.0832	0.0047	0	0	0.0003
7	Abies pinsapo	Abies pinsapo	8	7	4	7	4	0		0.7	0.11364	0.06139	1.36015	0	0.27273	0.11364	0	0	0	0	0	0	0
8	Abies sibirica	Abies sibirica	NA	NA	NA	NA	NA	NA		0.68787	0.11303	0.03339	1.33228	0.00565	0.2	0.10432	0.0001	0.0001	0.0699	0.0121	0.0082	0.0001	0.0002
9	Abutilon theophrasti	Abutilon theophrasti	7.5	x	5.2	6.6	x	0.4		0.82031	0.80625	1.52422	1.96295	0.84443	0.16875	0.76562	0.0036	0.0036	0.0791	0.0191	0.535	0.0052	0.0072
10	Acacia dealbata	Acacia dealbata	8.5	8.7	5	5.5	4	0		0.71515	0.28571	0.19766	1.36004	0.11368	0.21515	0.17879	0.0072	0.0098	1.6704	0.0953	1.6489	0.0022	0.0054
11	Acacia saligna	Acacia saligna	8.5	9	5	5.5	4	3		0.6878	0.19744	0.24342	1.52786	0.01094	0.1975	0.1825	0.0059	0.0044	1.3258	0.0581	0.0805	0.0025	0.0115
12	Acantholimon ulicinum	Acantholimon ulicinum	9	7	4	7	4	0		0.4368	0.33106	1.59262	1.86794	0.02701	0.35692	0.15	0.0012	0.0007	0.0362	0.0215	0.0707	0.0021	0.001
13	Acanthus hungaricus	Acanthus hungaricus	5.2	6.3	4.8	6.8	4	0		0.6726	0.12466	0.03794	1.33143	0.01737	0.20845	0.10526	0.0043	0.0054	1.5135	0.0612	1.2685	0.0015	0.0009
14	Acanthus mollis	Acanthus mollis	6	8.3	3.5	7	7.5	0		0.69198	0.32022	0.28525	1.37077	0.12263	0.25058	0.15209	0.0014	0.0043	0.5836	0.0283	0.5814	0.0016	0.0021
15	Acanthus spinosus	Acanthus spinosus	7.5	10.5	3.5	5	5.5	0		0.74412	0.36029	0.35661	1.59183	0.10663	0.30719	0.2482	0.0015	0.0056	0.7142	0.0325	0.7356	0.0017	0.0027
16	Acer campestre	Acer campestre	5.7	x	x	7.3	5.4	0		0.6918	0.13881	0.03984	1.31841	0.01173	0.19643	0.10363	0.0001	0.0002	0.0425	0.0022	0.0366	0.0001	0.0001
17	Acer cappadocicum aggr.	Acer cappadocicum aggr.	6.5	6.5	4	7	5	0		0.69817	0.10981	0.0098	1.30282	0	0.19112	0.1	0	0.0002	0.0472	0.0002	0	0.0002	0
18	Acer heldreichii	Acer heldreichii	NA	NA	NA	NA	NA	NA		0.67455	0.1283	0.04471	1.31909	0.01576	0.19821	0.09464	0.0042	0.0021	1.048	0.0197	0.126	0.0012	0.0012
19	Acer hyrcanum	Acer hyrcanum	5	5.3	6.3	NA	NA	NA		0.69466	0.10458	0.00869	1.30402	0	0.20038	0.09961	0.001	0.0005	0.2356	0.0096	0	0.0002	0.0002
20	Acer monspessulanum	Acer monspessulanum	6.5	8	3.3	7.8	4.3	0		0.68578	0.12366	0.03631	1.29188	0.00957	0.22334	0.10177	0.0003	0.0005	0.1185	0.0088	0.0822	0.0003	0.0003
21	Acer negundo	Acer negundo	6.2	6.4	6.2	6.8	6.8	0.2		0.72226	0.44267	0.42278	1.52809	0.17333	0.18109	0.23847	0.0012	0.0023	0.3083	0.0175	0.3975	0.0007	0.002
22	Acer opalus aggr.	Acer opalus aggr.	x	x	4.3	7.2	5.7	0		0.69236	0.11663	0.02581	1.29653	0.00252	0.19657	0.10014	0.0001	0.0001	0.0423	0.0034	0.0207	0.0001	0.0001
23	Acer platanoides	Acer platanoides	4.7	5.8	5.6	6.5	6.3	0		0.69843	0.15019	0.04615	1.3308	0.01233	0.18685	0.11235	0.0001	0.0003	0.0587	0.0035	0.0495	0.0001	0.0002
24	Acer pseudoplatanus	Acer pseudoplatanus	4.7	x	x	5.8	6.6	0		0.68705	0.16985	0.0706	1.32057	0.02196	0.18337	0.11293	0.0001	0.0002	0.0433	0.007	0.0373	0.0001	0.0001
25	Acer sempervirens	Acer sempervirens	5	NA	5	7	4	0		0.70099	0.2568	0.10187	1.45995	0.03314	0.3035	0.15419	0.0015	0.003	0.5272	0.0257	0.3736	0.0009	0.0015
26	Acer tataricum	Acer tataricum	5	6.8	5.1	7	4	1		0.69181	0.13689	0.0286	1.32574	0.01111	0.20194	0.10508	0.0004	0.0008	0.155	0.007	0.1275	0.0002	0.0004
27	Achillea abrotanoides	Achillea abrotanoides	NA	NA	NA	NA	NA	NA		0.39545	0.39545	1.81998	1.81998	0.2189	0.28182	0.12727	0	0	0	0	0	0	0
28	Achillea ageratifolia	Achillea ageratifolia	9	7.4	2.1	7.5	1.8	0		0.32549	0.28687	1.11213	1.6848	0.01745	0.28229	0.132	0.0017	0.0016	0.1745	0.1432	0.5386	0.0021	0.0015
29	Achillea ageratum	Achillea ageratum	8	8.3	6.5	6	5	0		0.67778	0.65111	1.24586	1.87759	0.55385	0.28372	0.32444	0.0073	0.007	0.1717	0.031	1.1421	0.0088	0.0059
30	Achillea arabica	Achillea arabica	NA	NA	NA	NA	NA	NA		0.54286	0.54286	2.29121	2.25626	0.50071	0.39143	0.28571	0.0006	0.0006	0.0029	0.0035	0.3692	0.0015	0.0012
31	Achillea asiatica	Achillea asiatica	NA	NA	NA	NA	NA	NA		0.49273	0.48545	1.9308	1.9308	1.05271	0.37818	0.14182	0.0002	0.0005	0.0226	0.0226	0.161	0.0034	0.0017
32	Achillea aspleniifolia	Achillea aspleniifolia	8	6.7	6	7	4.5	2.7		0.44857	0.43699	1.65487	2.12109	1.10579	0.32353	0.17571	0.0039	0.0042	0.0689	0.0224	0.8007	0.0065	0.0041
33	Achillea atrata	Achillea atrata	9	1.5	5	8	3	0		0.28546	0.28025	1.36504	1.39521	0.02225	0.15038	0.1702	0.001	0.001	0.1524	0.1367	0.1072	0.0015	0.001
