site	plotID	warming	treatment	year	date	recorder	writer	functional_group	species	cover
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Ant_odo	3
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Bis_viv	2
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Eup_wet	1
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Graminoids	Nar_str	30
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Deciduous_shrubs	Sal_her	9
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Sib_pro	4
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Graminoids	Agr_mer	1
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Alc_alp	1
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Graminoids	Car_big	6
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Evergreen_shrubs	Emp_nig	1
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Oma_sup	1
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Ver_alp	1
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Deciduous_shrubs	Vac_myr	2
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Alc_sp	3
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Graminoids	Poa_pra	1
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Vio_pal	3
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Cam_rot	1
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Graminoids	Car_vag	1
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Forbs	Sag_sag	1
Skjellingahaugen	Skj_7_5	W	C	2018	21.08.2018	Eva Lieungh	Silje Ostmann	Graminoids	Ave_fle	1
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Alc_alp	3
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Alc_sp	4
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Ant_odo	3
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Graminoids	Ave_fle	2
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Bis_viv	1
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Graminoids	Car_big	5
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Graminoids	Nar_str	15
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Deciduous_shrubs	Sal_her	10
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Ver_alp	1
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Vio_pal	2
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Graminoids	Agr_mer	2
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Cam_rot	1
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Leo_aut	1
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Sib_pro	5
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Tar_sp	1
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Eup_wet	2
Skjellingahaugen	Skj_7_4	W	R	2018	21.08.2018	Eva Lieungh & Silje Ostman	Silje Ostmann & Eva Lieungh	Forbs	Oma_sup	1
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Alc_alp	6
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ant_odo	5
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Nar_str	25
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Alc_sp	8
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Sib_pro	6
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Bis_viv	1
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Leo_aut	3
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Sel_sel	1
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Sal_her	2
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Vac_myr	4
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_big	1
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Vio_pal	3
