ID	ID_merged	date	siteID	elevation_m_asl	blockID	warming	individual_nr	species	trait	value	merged	flag
DHR0146	DHR0146	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Achillea millefolium	c_percent	42.28	NA	NA
DHR0146	DHR0146	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Achillea millefolium	n_percent	2.85	NA	NA
DHR0146	DHR0146	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Achillea millefolium	c_n	14.835087719298246	NA	NA
DHR0146	DHR0146	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Achillea millefolium	d15n	-3.0389999999999997	NA	NA
DHR0146	DHR0146	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Achillea millefolium	d13c	-30.341	NA	NA
DJT1425	DJT1425	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Achillea millefolium	c_percent	42.1	NA	NA
DJT1425	DJT1425	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Achillea millefolium	n_percent	2.61	NA	NA
DJT1425	DJT1425	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Achillea millefolium	c_n	16.13026819923372	NA	NA
DJT1425	DJT1425	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Achillea millefolium	d15n	-3.675	NA	NA
DJT1425	DJT1425	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Achillea millefolium	d13c	-31.499000000000002	NA	NA
DZC2489	DZC2489	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Achillea millefolium	c_percent	42.46	NA	NA
DZC2489	DZC2489	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Achillea millefolium	n_percent	2.57	NA	NA
DZC2489	DZC2489	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Achillea millefolium	c_n	16.52140077821012	NA	NA
DZC2489	DZC2489	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Achillea millefolium	d15n	-1.098	NA	NA
DZC2489	DZC2489	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Achillea millefolium	d13c	-27.383000000000003	NA	NA
DJP4848	DJP4848	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Achillea millefolium	c_percent	43.66	NA	NA
DJP4848	DJP4848	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Achillea millefolium	n_percent	3.06	NA	NA
DJP4848	DJP4848	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Achillea millefolium	c_n	14.26797385620915	NA	NA
DJP4848	DJP4848	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Achillea millefolium	d15n	-1.598	NA	NA
