ID	date	siteID	elevation_m_asl	blockID	warming	individual_nr	species	trait	value	flowering	comment	problem	flag
CRC3917	2022-07-24	Ulvehaugen	1208	Ulv_6	W	1	Veronica alpina	plant_height_cm	7.4	NA	NA	NA	NA
CRC3917	2022-07-24	Ulvehaugen	1208	Ulv_6	W	1	Veronica alpina	wet_mass_g	0.02116666666666666	NA	NA	NA	NA
CRC3917	2022-07-24	Ulvehaugen	1208	Ulv_6	W	1	Veronica alpina	dry_mass_g	0.00313333333333333	NA	NA	NA	NA
CRC3917	2022-07-24	Ulvehaugen	1208	Ulv_6	W	1	Veronica alpina	leaf_area_cm2	0.9166666666666666	NA	NA	NA	NA
CRC3917	2022-07-24	Ulvehaugen	1208	Ulv_6	W	1	Veronica alpina	leaf_thickness_mm	0.26566666666666666	NA	NA	NA	NA
CRC3917	2022-07-24	Ulvehaugen	1208	Ulv_6	W	1	Veronica alpina	ldmc	0.14803149606299212	NA	NA	NA	NA
CRC3917	2022-07-24	Ulvehaugen	1208	Ulv_6	W	1	Veronica alpina	sla_cm2_g	292.55319148936167	NA	NA	NA	NA
CCP8785	2022-07-24	Ulvehaugen	1208	Ulv_6	W	3	Viola biflora	plant_height_cm	4.3	NA	NA	NA	NA
CCP8785	2022-07-24	Ulvehaugen	1208	Ulv_6	W	3	Viola biflora	wet_mass_g	0.0668	NA	NA	NA	NA
CCP8785	2022-07-24	Ulvehaugen	1208	Ulv_6	W	3	Viola biflora	dry_mass_g	0.0103	NA	NA	NA	NA
CCP8785	2022-07-24	Ulvehaugen	1208	Ulv_6	W	3	Viola biflora	leaf_area_cm2	3.902	NA	NA	NA	NA
CCP8785	2022-07-24	Ulvehaugen	1208	Ulv_6	W	3	Viola biflora	leaf_thickness_mm	0.15066666666666667	NA	NA	NA	NA
CCP8785	2022-07-24	Ulvehaugen	1208	Ulv_6	W	3	Viola biflora	ldmc	0.15419161676646706	NA	NA	NA	NA
CCP8785	2022-07-24	Ulvehaugen	1208	Ulv_6	W	3	Viola biflora	sla_cm2_g	378.8349514563107	NA	NA	NA	NA
BOL8937	2022-07-24	Ulvehaugen	1208	Ulv_6	W	2	Viola biflora	plant_height_cm	5.5	NA	NA	NA	NA
BOL8937	2022-07-24	Ulvehaugen	1208	Ulv_6	W	2	Viola biflora	wet_mass_g	0.071	NA	NA	NA	NA
BOL8937	2022-07-24	Ulvehaugen	1208	Ulv_6	W	2	Viola biflora	dry_mass_g	0.00975	NA	NA	NA	NA
BOL8937	2022-07-24	Ulvehaugen	1208	Ulv_6	W	2	Viola biflora	leaf_area_cm2	3.454	NA	NA	NA	NA
BOL8937	2022-07-24	Ulvehaugen	1208	Ulv_6	W	2	Viola biflora	leaf_thickness_mm	0.159	NA	NA	NA	NA
BOL8937	2022-07-24	Ulvehaugen	1208	Ulv_6	W	2	Viola biflora	ldmc	0.13732394366197184	NA	NA	NA	NA
BOL8937	2022-07-24	Ulvehaugen	1208	Ulv_6	W	2	Viola biflora	sla_cm2_g	354.2564102564103	NA	NA	NA	NA
BND1925	2022-07-24	Ulvehaugen	1208	Ulv_6	W	1	Carex bigelowii	plant_height_cm	4.4	NA	NA	NA	NA
