species	alpine	generalist
Achillea millefolium	0	1
Agrostis capillaris	0	1
Alchemilla alpina	1	0
Anthoxanthum odoratum	0	1
Bistorta vivipara	1	0
Campanula rotundifolia	0	1
Carex bigelowii	1	0
Carex vaginata	0	1
Festuca rubra	0	1
Leontodon autumnalis	0	1
Poa alpina	1	0
Salix herbacea	1	0
Saussurea alpina	1	0
Sibbaldia procumbens	1	0
Thalictrum alpinum	1	0
Veronica alpina	1	0
Alchemilla sp	0	1
Astragalus alpinus	1	0
Avenella flexuosa	0	1
Betula nana	1	0
Calluna vulgaris	0	1
Carex capillaris	1	0
Carex flava	0	1
Deschampsia cespitosa	0	1
Empetrum nigrum	0	1
Festuca ovina	0	1
Festuca vivipara	1	0
Geranium sylvaticum	0	1
Nardus stricta	0	1
Oxyria digyna	1	0
Parnassia palustris	0	1
Poa pratensis	0	1
Pyrola sp	0	1
Ranunculus acris	0	1
Vaccinium myrtillus	0	1
Vaccinium vitis-idaea	0	1
Viola biflora	1	0
Viola palustris	0	1
